lead_id,empresa,setor,canal_origem,dia_chegada,orcamento_declarado,urgencia_declarada,tamanho_funcionarios,fit_real
1077,Empresa_1077,tecnologia,indicacao,1,106184.22,0.331,490,0.7788
896,Empresa_0896,saude,inbound,1,36479.65,0.222,374,0.3962
700,Empresa_0700,tecnologia,inbound,1,72259.32,0.783,275,0.9481
1827,Empresa_1827,tecnologia,inbound,1,81176.32,0.112,183,0.5818
507,Empresa_0507,varejo,outbound,1,58697.69,0.644,268,0.518
1406,Empresa_1406,servicos,inbound,1,55118.14,0.559,200,0.4426
1339,Empresa_1339,industria,inbound,2,45723.91,0.203,285,0.5573
1175,Empresa_1175,servicos,inbound,2,17995.88,0.274,166,0.3812
1755,Empresa_1755,tecnologia,inbound,3,62575.93,0.016,141,0.01
1812,Empresa_1812,varejo,inbound,3,55476.08,0.438,145,0.2974
909,Empresa_0909,varejo,outbound,3,28475.1,0.518,386,0.1219
1536,Empresa_1536,servicos,outbound,3,64984.46,0.792,196,0.4597
497,Empresa_0497,tecnologia,indicacao,4,43287.85,0.34,296,0.4351
1919,Empresa_1919,industria,inbound,4,20676.28,0.345,26,0.488
1068,Empresa_1068,tecnologia,inbound,4,78902.52,0.656,297,0.7148
63,Empresa_0063,servicos,inbound,4,61724.45,0.342,326,0.4711
794,Empresa_0794,industria,indicacao,4,14265.85,0.046,80,0.4247
771,Empresa_0771,varejo,outbound,4,77184.41,0.283,157,0.6421
1391,Empresa_1391,tecnologia,inbound,4,79547.87,0.329,108,0.4467
993,Empresa_0993,servicos,indicacao,4,76296.16,0.184,19,0.078
380,Empresa_0380,servicos,inbound,4,52157.61,0.726,281,0.9442
940,Empresa_0940,varejo,outbound,5,54232.19,0.241,118,0.3666
20,Empresa_0020,servicos,indicacao,5,46302.75,0.93,161,0.3016
428,Empresa_0428,servicos,outbound,5,22356.37,0.52,463,0.2236
1186,Empresa_1186,servicos,inbound,5,43676.05,0.112,90,0.3
564,Empresa_0564,varejo,inbound,6,68003.69,0.351,13,0.3559
902,Empresa_0902,saude,outbound,6,47051.15,0.798,498,0.5947
608,Empresa_0608,tecnologia,inbound,6,16288.05,0.745,224,0.1829
1624,Empresa_1624,tecnologia,inbound,6,53848.42,0.576,345,0.7941
100,Empresa_0100,industria,outbound,6,42436.75,0.929,104,0.703
1295,Empresa_1295,servicos,inbound,6,66909.66,0.34,364,0.6242
1189,Empresa_1189,servicos,outbound,7,47180.24,0.164,114,0.4928
1208,Empresa_1208,varejo,outbound,7,95632.66,0.489,425,0.99
1432,Empresa_1432,varejo,inbound,7,32636.13,0.909,431,0.7151
1468,Empresa_1468,saude,outbound,8,21457.27,0.971,386,0.4859
