lead_id,empresa,setor,canal_origem,dia_chegada,orcamento_declarado,urgencia_declarada,tamanho_funcionarios,fit_real
19834,Treino_0000,saude,inbound,0,61006.79,0.709,404,0.7337
19431,Treino_0001,industria,inbound,0,63460.65,0.235,174,0.8088
11695,Treino_0002,industria,outbound,0,50078.25,0.68,227,0.3921
11928,Treino_0003,servicos,inbound,0,73337.22,0.492,96,0.3219
12068,Treino_0004,industria,inbound,0,53184.78,0.775,180,0.2261
10413,Treino_0005,servicos,inbound,0,48000.19,0.633,176,0.4152
11596,Treino_0006,industria,inbound,0,29325.85,0.924,213,0.4737
12398,Treino_0007,servicos,inbound,0,60066.33,0.899,270,0.3392
12183,Treino_0008,varejo,outbound,0,86307.26,0.571,51,0.3462
10133,Treino_0009,saude,indicacao,0,39039.87,0.989,11,0.142
15913,Treino_0010,saude,outbound,0,33852.58,0.363,159,0.01
19747,Treino_0011,servicos,inbound,0,62755.24,0.88,141,0.6837
11923,Treino_0012,servicos,outbound,0,39020.89,0.163,424,0.7641
11456,Treino_0013,servicos,inbound,0,41783.65,0.892,331,0.5685
17009,Treino_0014,tecnologia,inbound,0,31334.85,0.295,271,0.4586
16026,Treino_0015,tecnologia,outbound,0,24814.38,0.897,68,0.4088
14283,Treino_0016,servicos,inbound,0,67070.13,0.537,489,0.373
18118,Treino_0017,varejo,outbound,0,58054.67,0.579,166,0.1959
15464,Treino_0018,tecnologia,inbound,0,61574.36,0.474,208,0.4373
16415,Treino_0019,industria,inbound,0,60984.52,0.204,284,0.0719
17636,Treino_0020,servicos,inbound,0,30237.13,0.994,33,0.331
15541,Treino_0021,saude,inbound,0,69430.1,0.891,19,0.5065
14284,Treino_0022,servicos,inbound,1,30949.2,0.45,210,0.0304
14332,Treino_0023,industria,inbound,1,41521.37,0.443,400,0.1969
15172,Treino_0024,tecnologia,inbound,1,77916.13,0.479,317,0.7004
15831,Treino_0025,tecnologia,inbound,1,60637.94,0.164,112,0.2609
13246,Treino_0026,servicos,outbound,1,83118.91,0.006,274,0.1347
17884,Treino_0027,varejo,inbound,1,43556.36,0.873,482,0.8711
18081,Treino_0028,saude,inbound,1,72444.64,0.92,164,0.6759
10177,Treino_0029,tecnologia,inbound,1,25984.6,0.976,441,0.6184
11328,Treino_0030,varejo,outbound,1,38475.47,0.446,484,0.5178
17848,Treino_0031,tecnologia,inbound,1,63334.31,0.277,105,0.2987
16916,Treino_0032,saude,outbound,1,76455.67,0.525,480,0.5978
13608,Treino_0033,saude,inbound,1,48094.03,0.402,166,0.326
15850,Treino_0034,tecnologia,outbound,1,37238.97,0.842,188,0.2227
12488,Treino_0035,varejo,outbound,1,38844.06,0.889,377,0.4662
13476,Treino_0036,industria,indicacao,1,32552.74,0.773,350,0.688
18932,Treino_0037,varejo,inbound,1,52088.83,0.728,173,0.4372
18716,Treino_0038,industria,indicacao,2,13295.11,0.91,328,0.5341
18681,Treino_0039,tecnologia,inbound,2,62203.3,0.738,403,0.7231
13061,Treino_0040,varejo,inbound,2,49377.96,0.839,79,0.4622
17689,Treino_0041,tecnologia,inbound,2,75304.46,0.579,121,0.6635
16184,Treino_0042,saude,inbound,2,19790.92,0.099,187,0.2158
17965,Treino_0043,tecnologia,indicacao,2,74801.28,0.434,384,0.4299
15700,Treino_0044,tecnologia,indicacao,2,60766.61,0.045,214,0.4318
10320,Treino_0045,industria,outbound,2,15561.11,0.833,453,0.4148
12423,Treino_0046,varejo,outbound,2,77152.14,0.979,443,0.7922
13030,Treino_0047,tecnologia,inbound,3,23292.69,0.485,288,0.3175
14266,Treino_0048,servicos,inbound,3,14411.41,0.437,286,0.42
19311,Treino_0049,servicos,outbound,3,48226.3,0.765,128,0.4804
11369,Treino_0050,industria,outbound,3,11370.3,0.277,64,0.2559
14748,Treino_0051,varejo,outbound,3,54694.86,0.272,471,0.7287
11507,Treino_0052,tecnologia,outbound,3,52372.8,0.917,429,0.5072
17181,Treino_0053,saude,outbound,3,73248.8,0.929,409,0.712
10272,Treino_0054,servicos,inbound,3,48983.54,0.989,352,0.8642
10692,Treino_0055,varejo,outbound,3,29260.57,0.491,402,0.3074
15552,Treino_0056,industria,inbound,3,44017.5,0.548,266,0.5318
10234,Treino_0057,saude,outbound,3,71976.16,0.877,348,0.9693
11674,Treino_0058,servicos,outbound,3,94348.95,0.824,370,0.7757
16862,Treino_0059,servicos,inbound,3,55138.36,0.404,67,0.1733
16867,Treino_0060,servicos,indicacao,3,52336.88,0.283,7,0.3655
11668,Treino_0061,saude,inbound,4,61160.16,0.659,403,0.715
11045,Treino_0062,saude,inbound,4,51045.83,0.205,20,0.6998
15274,Treino_0063,saude,inbound,4,68599.8,0.539,31,0.1602
17881,Treino_0064,varejo,inbound,4,21715.29,0.479,449,0.3587
12079,Treino_0065,tecnologia,inbound,4,52752.92,0.127,108,0.4727
16090,Treino_0066,varejo,inbound,4,59372.94,0.176,233,0.2586
18799,Treino_0067,tecnologia,outbound,4,26312.83,0.855,470,0.5268
19043,Treino_0068,tecnologia,outbound,4,25387.85,0.433,282,0.3284
15538,Treino_0069,servicos,inbound,4,31807.37,0.431,152,0.01
11953,Treino_0070,saude,outbound,4,54493.36,0.259,314,0.3661
11465,Treino_0071,tecnologia,inbound,4,5000.0,0.511,337,0.2565
17034,Treino_0072,servicos,inbound,4,36449.68,0.126,12,0.2238
12464,Treino_0073,industria,inbound,4,42776.72,0.924,107,0.7307
17819,Treino_0074,servicos,indicacao,4,99351.48,0.481,204,0.452
18402,Treino_0075,tecnologia,outbound,5,64744.03,0.203,317,0.2169
19155,Treino_0076,saude,indicacao,5,37188.38,0.535,276,0.3432
11429,Treino_0077,saude,indicacao,5,39145.01,0.442,424,0.7346
17842,Treino_0078,tecnologia,inbound,5,58770.57,0.979,416,0.867
12892,Treino_0079,industria,outbound,5,51303.65,0.865,124,0.4307
18232,Treino_0080,varejo,outbound,5,37326.33,0.603,191,0.2163
11593,Treino_0081,industria,inbound,5,45256.73,0.05,310,0.4353
12512,Treino_0082,varejo,indicacao,5,11727.09,0.307,26,0.1144
16498,Treino_0083,saude,inbound,5,76531.82,0.408,445,0.609
17945,Treino_0084,saude,inbound,5,49400.57,0.175,222,0.4414
15916,Treino_0085,industria,outbound,5,79237.69,0.094,402,0.5354
11282,Treino_0086,servicos,inbound,5,5000.0,0.54,190,0.3275
17323,Treino_0087,servicos,inbound,5,42848.37,0.859,38,0.4695
19978,Treino_0088,varejo,outbound,5,40849.47,0.11,310,0.2462
