repeticao,estado,negocios_fechados,taxa_conversao_pct,tempo_simulado_h,duracao_real_min
1,A,137,6.85,5478.11,
1,B,114,5.7,3180.96,
1,C,135,6.75,2284.6,
2,A,131,6.55,5395.79,
2,B,134,6.7,3176.05,31.7
2,C,145,7.25,2294.09,10.5
3,A,120,6.0,5108.52,4.4
3,B,118,5.9,3155.86,15.0
3,C,153,7.65,2259.21,6.6
4,A,139,6.95,5155.14,4.5
4,B,139,6.95,3148.22,63.1
4,C,168,8.4,2351.9,7.6
5,A,140,7.0,5429.44,4.6
5,B,107,5.35,3242.86,20.7
5,C,128,6.4,2329.54,20.1
6,A,144,7.2,5370.03,4.9
6,B,122,6.1,3112.3,27.6
6,C,126,6.3,2295.44,16.5
7,A,131,6.55,5037.34,4.5
7,B,126,6.3,3185.63,13.4
7,C,123,6.15,2340.61,5.6
8,A,137,6.85,5283.08,4.5
8,B,123,6.15,3187.43,12.4
8,C,122,6.1,2333.27,5.8
9,A,144,7.2,5473.83,4.6
9,B,130,6.5,3242.15,9.1
9,C,164,8.2,2374.07,5.7
10,A,122,6.1,5280.09,4.6
10,B,115,5.75,3117.02,9.9
10,C,149,7.45,2329.54,5.7
11,A,109,5.45,5250.8,4.5
11,B,129,6.45,3110.39,8.5
11,C,128,6.4,2337.98,5.7
12,A,127,6.35,5436.11,4.6
12,B,114,5.7,3117.15,13.1
12,C,126,6.3,2305.09,5.7
13,A,113,5.65,5264.72,4.5
13,B,107,5.35,3074.15,6.7
13,C,149,7.45,2385.12,5.7
14,A,107,5.35,5211.0,4.6
14,B,105,5.25,3110.79,5.7
14,C,123,6.15,2317.08,5.7
15,A,123,6.15,5044.01,4.4
15,B,123,6.15,3160.99,5.7
15,C,143,7.15,2303.63,5.7
16,A,117,5.85,5148.15,5.4
16,B,127,6.35,3172.96,5.5
16,C,138,6.9,2318.18,5.7
17,A,116,5.8,5372.18,4.6
17,B,114,5.7,3137.67,5.6
17,C,124,6.2,2291.33,5.6
18,A,113,5.65,5040.25,4.4
18,B,151,7.55,3163.18,5.2
18,C,148,7.4,2335.87,5.7
19,A,124,6.2,5287.43,4.5
19,B,137,6.85,3198.09,5.7
19,C,135,6.75,2330.12,5.7
20,A,140,7.0,5314.82,4.5
20,B,147,7.35,3324.4,7.2
20,C,114,5.7,2259.78,5.6
21,A,117,5.85,5232.36,4.5
21,B,107,5.35,3150.25,5.6
21,C,138,6.9,2272.72,5.6
22,A,128,6.4,5304.44,4.5
22,B,128,6.4,3208.38,5.8
22,C,126,6.3,2288.99,11.3
23,A,115,5.75,5211.8,4.4
23,B,144,7.2,3235.57,5.5
23,C,132,6.6,2341.62,5.7
24,A,142,7.1,5279.04,4.5
24,B,131,6.55,3213.65,5.3
24,C,139,6.95,2356.55,5.7
25,A,127,6.35,5332.59,14.9
25,B,113,5.65,3238.71,5.1
25,C,141,7.05,2266.97,5.7
26,A,132,6.6,5087.43,4.5
26,B,133,6.65,3128.68,4.5
26,C,145,7.25,2332.63,5.7
27,A,132,6.6,5279.64,4.5
27,B,123,6.15,3109.5,5.2
27,C,134,6.7,2293.85,5.7
28,A,127,6.35,5090.63,4.4
28,B,108,5.4,3184.36,5.7
28,C,142,7.1,2280.06,6.5
29,A,133,6.65,5421.72,4.6
29,B,130,6.5,3279.66,5.4
29,C,127,6.35,2338.71,5.6
30,A,133,6.65,5287.2,4.5
30,B,123,6.15,3081.16,5.8
30,C,153,7.65,2382.16,5.7
