repeticao,estado,etapa,tempo_total_min,execucoes,tempo_medio_min
3,A,proposta_manual,121017.5,573,211.2
3,A,negociacao,64938.9,573,113.33
3,A,qualificacao_sdr,56316.5,2000,28.16
3,A,descoberta_closer,55200.0,920,60.0
3,A,fechamento,5411.4,275,19.68
3,A,pos_venda,3626.8,120,30.22
3,A,geracao_leads,0.0,2000,0.0
2,B,negociacao,65169.4,583,111.78
2,B,descoberta_closer,58020.0,967,60.0
2,B,qualificacao_sdr,56543.3,2000,28.27
2,B,fechamento,6177.3,305,20.25
2,B,pos_venda,4250.5,134,31.72
2,B,proposta_ia,402.5,583,0.69
2,B,geracao_leads,0.0,2000,0.0
2,C,negociacao,66473.7,597,111.35
2,C,descoberta_closer,60000.0,1000,60.0
2,C,fechamento,6043.2,303,19.94
2,C,pos_venda,4298.2,145,29.64
2,C,qualificacao_ia,400.0,2000,0.2
2,C,proposta_ia,330.5,597,0.55
2,C,match_closer_ia,100.0,1000,0.1
2,C,geracao_leads,0.0,2000,0.0
3,B,negociacao,65718.1,576,114.09
3,B,descoberta_closer,57300.0,955,60.0
3,B,qualificacao_sdr,57107.5,2000,28.55
3,B,fechamento,5305.9,263,20.17
3,B,pos_venda,3556.1,118,30.14
3,B,proposta_ia,364.0,576,0.63
3,B,geracao_leads,0.0,2000,0.0
3,C,negociacao,64176.7,576,111.42
3,C,descoberta_closer,60000.0,1000,60.0
3,C,fechamento,5998.0,304,19.73
3,C,pos_venda,4582.9,153,29.95
3,C,qualificacao_ia,400.0,2000,0.2
3,C,proposta_ia,295.0,576,0.51
3,C,match_closer_ia,100.0,1000,0.1
3,C,geracao_leads,0.0,2000,0.0
4,A,proposta_manual,121294.1,578,209.85
4,A,negociacao,64855.1,578,112.21
4,A,descoberta_closer,57180.0,953,60.0
4,A,qualificacao_sdr,56399.0,2000,28.2
4,A,fechamento,5565.9,280,19.88
4,A,pos_venda,4014.2,139,28.88
4,A,geracao_leads,0.0,2000,0.0
4,B,negociacao,63891.3,588,108.66
4,B,descoberta_closer,57420.0,957,60.0
4,B,qualificacao_sdr,57223.6,2000,28.61
4,B,fechamento,5822.8,299,19.47
4,B,pos_venda,4171.8,139,30.01
4,B,proposta_ia,364.0,588,0.62
4,B,geracao_leads,0.0,2000,0.0
4,C,negociacao,68437.3,603,113.49
4,C,descoberta_closer,60000.0,1000,60.0
4,C,fechamento,6771.1,341,19.86
4,C,pos_venda,5103.0,168,30.37
4,C,qualificacao_ia,400.0,2000,0.2
4,C,proposta_ia,302.5,603,0.5
4,C,match_closer_ia,100.0,1000,0.1
4,C,geracao_leads,0.0,2000,0.0
5,A,proposta_manual,131355.7,634,207.19
5,A,negociacao,69373.4,634,109.42
5,A,descoberta_closer,58560.0,976,60.0
5,A,qualificacao_sdr,56493.1,2000,28.25
5,A,fechamento,5786.7,291,19.89
5,A,pos_venda,4197.2,140,29.98
5,A,geracao_leads,0.0,2000,0.0
5,B,negociacao,69825.7,602,115.99
5,B,descoberta_closer,58800.0,980,60.0
5,B,qualificacao_sdr,56636.0,2000,28.32
5,B,fechamento,5697.2,284,20.06
