estado,etapa,horas_media,leads_processados_na_etapa
Estado A,geracao_leads,0.0,2000.0
Estado A,qualificacao_sdr,942.522,2000.0
Estado A,descoberta_closer,499.76,499.8
Estado A,proposta_manual,1051.106,300.6
Estado A,negociacao,562.762,300.6
Estado A,fechamento,49.895,149.8
Estado A,pos_venda,33.787,67.5
Estado B,geracao_leads,0.0,2000.0
Estado B,qualificacao_sdr,942.522,2000.0
Estado B,descoberta_closer,499.76,499.8
Estado B,proposta_ia,2.505,300.6
Estado B,negociacao,562.762,300.6
Estado B,fechamento,49.895,149.8
Estado B,pos_venda,33.787,67.5
Estado C,geracao_leads,0.0,2000.0
Estado C,qualificacao_ia,6.667,2000.0
Estado C,match_closer_ia,0.833,500.0
Estado C,descoberta_closer,500.0,500.0
Estado C,proposta_ia,2.493,299.1
Estado C,negociacao,562.982,299.1
Estado C,fechamento,53.192,159.2
Estado C,pos_venda,38.11,76.2
Estado D,geracao_leads,0.0,2000.0
Estado D,qualificacao_ia,6.667,2000.0
Estado D,descoberta_closer,500.0,500.0
Estado D,proposta_manual,1047.859,299.1
Estado D,negociacao,562.982,299.1
Estado D,fechamento,53.192,159.2
Estado D,pos_venda,38.11,76.2
