repeticao,estado,leads_processados,negocios_fechados,taxa_conversao_pct,tempo_total_min,tempo_total_h,duracao_execucao_s
1,Estado A,2000,68,3.4,189777.5,3162.96,0.1
1,Estado B,2000,68,3.4,125774.8,2096.25,0.1
1,Estado C,2000,69,3.45,69907.2,1165.12,12.9
1,Estado D,2000,69,3.45,135111.1,2251.85,12.8
2,Estado A,2000,66,3.3,185719.0,3095.32,0.1
2,Estado B,2000,66,3.3,123661.3,2061.02,0.1
2,Estado C,2000,86,4.3,72194.7,1203.24,12.7
2,Estado D,2000,86,4.3,137663.4,2294.39,12.6
3,Estado A,2000,64,3.2,176764.2,2946.07,0.1
3,Estado B,2000,64,3.2,119208.3,1986.81,0.1
3,Estado C,2000,76,3.8,68634.1,1143.9,12.7
3,Estado D,2000,76,3.8,130097.0,2168.28,12.6
4,Estado A,2000,83,4.15,192631.4,3210.52,0.1
4,Estado B,2000,83,4.15,126957.7,2115.96,0.1
4,Estado C,2000,80,4.0,71473.9,1191.23,13.0
4,Estado D,2000,80,4.0,138212.5,2303.54,12.7
5,Estado A,2000,60,3.0,191337.4,3188.96,0.2
5,Estado B,2000,60,3.0,126010.5,2100.18,0.1
5,Estado C,2000,67,3.35,68043.9,1134.06,13.0
5,Estado D,2000,67,3.35,130589.7,2176.49,12.8
6,Estado A,2000,59,2.95,179959.1,2999.32,0.1
6,Estado B,2000,59,2.95,121458.3,2024.3,0.1
6,Estado C,2000,66,3.3,68192.3,1136.54,12.6
6,Estado D,2000,66,3.3,123851.1,2064.18,12.4
7,Estado A,2000,80,4.0,195540.6,3259.01,0.1
7,Estado B,2000,80,4.0,128880.4,2148.01,0.1
7,Estado C,2000,89,4.45,72298.6,1204.98,12.8
7,Estado D,2000,89,4.45,137576.3,2292.94,12.4
8,Estado A,2000,62,3.1,189837.1,3163.95,0.1
8,Estado B,2000,62,3.1,125287.0,2088.12,0.1
8,Estado C,2000,64,3.2,68246.4,1137.44,12.6
8,Estado D,2000,64,3.2,128238.6,2137.31,12.4
9,Estado A,2000,75,3.75,192684.3,3211.4,0.1
9,Estado B,2000,75,3.75,127535.2,2125.59,0.1
9,Estado C,2000,83,4.15,70395.6,1173.26,12.8
9,Estado D,2000,83,4.15,134981.2,2249.69,12.8
10,Estado A,2000,73,3.65,190630.2,3177.17,0.1
10,Estado B,2000,73,3.65,126434.3,2107.24,0.1
10,Estado C,2000,65,3.25,67101.8,1118.36,12.8
10,Estado D,2000,65,3.25,127075.6,2117.93,12.7
11,Estado A,2000,66,3.3,184839.2,3080.65,0.1
11,Estado B,2000,66,3.3,123874.2,2064.57,0.1
11,Estado C,2000,91,4.55,70315.1,1171.92,12.7
11,Estado D,2000,91,4.55,133081.9,2218.03,12.3
12,Estado A,2000,64,3.2,187911.0,3131.85,0.1
12,Estado B,2000,64,3.2,123495.2,2058.25,0.2
12,Estado C,2000,80,4.0,68760.6,1146.01,12.7
12,Estado D,2000,80,4.0,131160.0,2186.0,12.4
13,Estado A,2000,79,3.95,189073.1,3151.22,0.1
13,Estado B,2000,79,3.95,125864.0,2097.73,0.1
13,Estado C,2000,75,3.75,69312.4,1155.21,12.7
13,Estado D,2000,75,3.75,131893.8,2198.23,12.8
14,Estado A,2000,64,3.2,193376.1,3222.94,0.1
14,Estado B,2000,64,3.2,126302.7,2105.04,0.1
14,Estado C,2000,73,3.65,70595.1,1176.58,13.0
14,Estado D,2000,73,3.65,135771.0,2262.85,12.6
15,Estado A,2000,73,3.65,196564.7,3276.08,0.1
15,Estado B,2000,73,3.65,128573.0,2142.88,0.1
15,Estado C,2000,72,3.6,68711.6,1145.19,12.7
15,Estado D,2000,72,3.6,129448.4,2157.47,12.5
16,Estado A,2000,73,3.65,187810.0,3130.17,0.1
16,Estado B,2000,73,3.65,126033.1,2100.55,0.1
16,Estado C,2000,79,3.95,69888.3,1164.8,12.9
16,Estado D,2000,79,3.95,131583.1,2193.05,12.5
17,Estado A,2000,66,3.3,196032.5,3267.21,0.1
17,Estado B,2000,66,3.3,127945.0,2132.42,0.1
17,Estado C,2000,76,3.8,68104.5,1135.07,12.9
17,Estado D,2000,76,3.8,131495.6,2191.59,12.4
18,Estado A,2000,56,2.8,182844.5,3047.41,0.1
18,Estado B,2000,56,2.8,125368.4,2089.47,0.1
18,Estado C,2000,86,4.3,73245.2,1220.75,12.9
18,Estado D,2000,86,4.3,136573.4,2276.22,13.2
19,Estado A,2000,60,3.0,179597.9,2993.3,0.1
19,Estado B,2000,60,3.0,121465.9,2024.43,0.1
19,Estado C,2000,71,3.55,70128.4,1168.81,12.8
19,Estado D,2000,71,3.55,130285.0,2171.42,12.3
20,Estado A,2000,85,4.25,194815.4,3246.92,0.1
20,Estado B,2000,85,4.25,129790.1,2163.17,0.1
20,Estado C,2000,95,4.75,70939.6,1182.33,13.3
20,Estado D,2000,95,4.75,134353.0,2239.22,12.6
21,Estado A,2000,57,2.85,187394.0,3123.23,0.1
21,Estado B,2000,57,2.85,123527.6,2058.79,0.1
21,Estado C,2000,77,3.85,68926.5,1148.77,13.8
21,Estado D,2000,77,3.85,131698.3,2194.97,12.5
22,Estado A,2000,63,3.15,191880.8,3198.01,0.1
22,Estado B,2000,63,3.15,125976.8,2099.61,0.1
