estado,etapa,horas_media,leads_processados_na_etapa
Estado A,geracao_leads,0.0,2000.0
Estado A,qualificacao_sdr,942.522,2000.0
Estado A,descoberta_closer,398.76,398.8
Estado A,proposta_manual,839.447,240.3
Estado A,negociacao,450.857,240.3
Estado A,fechamento,41.595,124.7
Estado A,pos_venda,28.985,58.0
Estado B,geracao_leads,0.0,2000.0
Estado B,qualificacao_sdr,942.522,2000.0
Estado B,descoberta_closer,398.76,398.8
Estado B,proposta_ia,2.002,240.3
Estado B,negociacao,450.857,240.3
Estado B,fechamento,41.595,124.7
Estado B,pos_venda,28.985,58.0
Estado C,geracao_leads,0.0,2000.0
Estado C,qualificacao_ia,6.667,2000.0
Estado C,match_closer_ia,0.665,399.0
Estado C,descoberta_closer,399.0,399.0
Estado C,proposta_ia,2.0,240.0
Estado C,negociacao,450.446,240.0
Estado C,fechamento,43.573,130.5
Estado C,pos_venda,31.588,63.4
Estado D,geracao_leads,0.0,2000.0
Estado D,qualificacao_ia,6.667,2000.0
Estado D,descoberta_closer,399.0,399.0
Estado D,proposta_manual,840.185,240.0
Estado D,negociacao,450.446,240.0
Estado D,fechamento,43.573,130.5
Estado D,pos_venda,31.588,63.4
