estado,etapa,horas_media,leads_processados_na_etapa
Estado A,geracao_leads,0.0,2000.0
Estado A,qualificacao_sdr,942.522,2000.0
Estado A,descoberta_closer,398.89,398.9
Estado A,proposta_manual,838.89,240.2
Estado A,negociacao,449.537,240.2
Estado A,fechamento,40.465,121.3
Estado A,pos_venda,27.757,55.6
Estado B,geracao_leads,0.0,2000.0
Estado B,qualificacao_sdr,942.522,2000.0
Estado B,descoberta_closer,398.89,398.9
Estado B,proposta_ia,2.001,240.2
Estado B,negociacao,449.537,240.2
Estado B,fechamento,40.465,121.3
Estado B,pos_venda,27.757,55.6
Estado C,geracao_leads,0.0,2000.0
Estado C,qualificacao_ia,6.667,2000.0
Estado C,match_closer_ia,0.667,400.0
Estado C,descoberta_closer,400.0,400.0
Estado C,proposta_ia,1.998,239.8
Estado C,negociacao,449.956,239.8
Estado C,fechamento,43.223,129.4
Estado C,pos_venda,31.461,62.9
Estado D,geracao_leads,0.0,2000.0
Estado D,qualificacao_ia,6.667,2000.0
Estado D,descoberta_closer,400.0,400.0
Estado D,proposta_manual,839.773,239.8
Estado D,negociacao,449.956,239.8
Estado D,fechamento,43.223,129.4
Estado D,pos_venda,31.461,62.9
