repeticao,estado,leads_processados,negocios_fechados,taxa_conversao_pct,tempo_total_min,tempo_total_h,duracao_execucao_s
1,Estado A,2000,56,2.8,162185.8,2703.1,0.1
1,Estado B,2000,56,2.8,111429.3,1857.16,0.2
1,Estado C,2000,64,3.2,56042.1,934.03,13.0
1,Estado D,2000,64,3.2,107966.1,1799.43,12.7
2,Estado A,2000,53,2.65,157864.8,2631.08,0.1
2,Estado B,2000,53,2.65,109958.5,1832.64,0.1
2,Estado C,2000,67,3.35,56079.8,934.66,13.1
2,Estado D,2000,67,3.35,106841.9,1780.7,12.5
3,Estado A,2000,57,2.85,155285.8,2588.1,0.1
3,Estado B,2000,57,2.85,108352.0,1805.87,0.2
3,Estado C,2000,56,2.8,54871.1,914.52,12.9
3,Estado D,2000,56,2.8,104771.4,1746.19,12.6
4,Estado A,2000,73,3.65,166789.4,2779.82,0.1
4,Estado B,2000,73,3.65,113737.1,1895.62,0.1
4,Estado C,2000,61,3.05,57099.4,951.66,12.6
4,Estado D,2000,61,3.05,108646.8,1810.78,12.5
5,Estado A,2000,50,2.5,164399.2,2739.99,0.1
5,Estado B,2000,50,2.5,111686.2,1861.44,0.1
5,Estado C,2000,53,2.65,53799.1,896.65,12.6
5,Estado D,2000,53,2.65,103725.2,1728.75,12.5
6,Estado A,2000,48,2.4,152798.4,2546.64,0.2
6,Estado B,2000,48,2.4,106578.6,1776.31,0.1
6,Estado C,2000,56,2.8,54298.7,904.98,12.8
6,Estado D,2000,56,2.8,99522.2,1658.7,12.5
7,Estado A,2000,66,3.3,166308.9,2771.82,0.1
7,Estado B,2000,66,3.3,113645.6,1894.09,0.1
7,Estado C,2000,79,3.95,59079.5,984.66,12.7
7,Estado D,2000,79,3.95,111978.2,1866.3,12.4
8,Estado A,2000,54,2.7,162172.3,2702.87,0.1
8,Estado B,2000,54,2.7,111510.2,1858.5,0.1
8,Estado C,2000,51,2.55,54009.3,900.15,12.7
8,Estado D,2000,51,2.55,102416.9,1706.95,12.5
9,Estado A,2000,62,3.1,164022.4,2733.71,0.1
9,Estado B,2000,62,3.1,113181.9,1886.37,0.1
9,Estado C,2000,77,3.85,57103.2,951.72,12.7
9,Estado D,2000,77,3.85,108494.9,1808.25,12.5
10,Estado A,2000,65,3.25,169308.3,2821.8,0.1
10,Estado B,2000,65,3.25,114548.6,1909.14,0.2
10,Estado C,2000,58,2.9,54602.6,910.04,12.7
10,Estado D,2000,58,2.9,104425.8,1740.43,12.5
11,Estado A,2000,58,2.9,162366.0,2706.1,0.1
11,Estado B,2000,58,2.9,112304.8,1871.75,0.2
11,Estado C,2000,69,3.45,55155.5,919.26,13.2
11,Estado D,2000,69,3.45,104401.6,1740.03,13.0
12,Estado A,2000,57,2.85,163450.9,2724.18,0.1
12,Estado B,2000,57,2.85,112035.4,1867.26,0.1
12,Estado C,2000,67,3.35,55004.2,916.74,12.9
12,Estado D,2000,67,3.35,104470.0,1741.17,12.6
13,Estado A,2000,70,3.5,169565.7,2826.1,0.2
13,Estado B,2000,70,3.5,115391.0,1923.18,0.2
13,Estado C,2000,66,3.3,56543.3,942.39,12.7
13,Estado D,2000,66,3.3,107724.6,1795.41,12.5
14,Estado A,2000,55,2.75,162443.3,2707.39,0.1
14,Estado B,2000,55,2.75,110770.5,1846.17,0.1
14,Estado C,2000,63,3.15,57605.4,960.09,12.8
14,Estado D,2000,63,3.15,109864.0,1831.07,12.5
15,Estado A,2000,61,3.05,164281.3,2738.02,0.1
15,Estado B,2000,61,3.05,112214.4,1870.24,0.1
15,Estado C,2000,68,3.4,56252.6,937.54,12.8
15,Estado D,2000,68,3.4,105723.2,1762.05,12.5
16,Estado A,2000,59,2.95,163459.7,2724.33,0.2
16,Estado B,2000,59,2.95,113017.1,1883.62,0.1
16,Estado C,2000,62,3.1,56293.8,938.23,12.7
16,Estado D,2000,62,3.1,105913.4,1765.22,12.5
17,Estado A,2000,56,2.8,167941.6,2799.03,0.1
17,Estado B,2000,56,2.8,112811.2,1880.19,0.2
17,Estado C,2000,67,3.35,56103.8,935.06,12.8
17,Estado D,2000,67,3.35,108014.4,1800.24,12.5
18,Estado A,2000,45,2.25,160124.7,2668.75,0.1
