repeticao,estado,leads_processados,negocios_fechados,taxa_conversao_pct,tempo_total_min,tempo_total_h,duracao_execucao_s
1,Estado A,2000,79,3.95,213463.1,3557.72,0.1
1,Estado B,2000,79,3.95,138080.8,2301.35,0.2
1,Estado C,2000,86,4.3,84169.6,1402.83,12.7
1,Estado D,2000,86,4.3,162649.9,2710.83,12.3
2,Estado A,2000,72,3.6,212913.6,3548.56,0.2
2,Estado B,2000,72,3.6,137805.7,2296.76,0.2
2,Estado C,2000,100,5.0,85465.6,1424.43,12.6
2,Estado D,2000,100,5.0,163467.4,2724.46,12.3
3,Estado A,2000,75,3.75,204102.6,3401.71,0.2
3,Estado B,2000,75,3.75,133958.9,2232.65,0.2
3,Estado C,2000,95,4.75,84112.1,1401.87,12.7
3,Estado D,2000,95,4.75,159580.6,2659.68,12.3
4,Estado A,2000,94,4.7,218827.0,3647.12,0.2
4,Estado B,2000,94,4.7,141083.0,2351.38,0.2
4,Estado C,2000,94,4.7,87817.6,1463.63,12.8
4,Estado D,2000,94,4.7,169931.3,2832.19,12.4
5,Estado A,2000,71,3.55,218643.5,3644.06,0.2
5,Estado B,2000,71,3.55,139826.4,2330.44,0.2
5,Estado C,2000,83,4.15,81251.0,1354.18,12.7
5,Estado D,2000,83,4.15,155615.4,2593.59,12.3
6,Estado A,2000,64,3.2,204407.0,3406.78,0.2
6,Estado B,2000,64,3.2,134700.7,2245.01,0.2
6,Estado C,2000,81,4.05,82154.7,1369.24,12.7
6,Estado D,2000,81,4.05,153242.1,2554.03,13.8
7,Estado A,2000,88,4.4,219926.1,3665.44,0.2
7,Estado B,2000,88,4.4,141968.1,2366.14,0.2
7,Estado C,2000,98,4.9,84722.8,1412.05,12.8
7,Estado D,2000,98,4.9,160911.5,2681.86,12.4
8,Estado A,2000,71,3.55,216555.7,3609.26,0.2
8,Estado B,2000,71,3.55,139258.6,2320.98,0.2
8,Estado C,2000,79,3.95,81187.0,1353.12,12.7
8,Estado D,2000,79,3.95,154109.3,2568.49,12.4
9,Estado A,2000,83,4.15,212269.3,3537.82,0.2
9,Estado B,2000,83,4.15,138366.4,2306.11,0.2
9,Estado C,2000,105,5.25,84770.0,1412.83,12.7
9,Estado D,2000,105,5.25,161672.8,2694.55,12.4
10,Estado A,2000,81,4.05,211834.1,3530.57,0.2
10,Estado B,2000,81,4.05,138288.8,2304.81,0.2
10,Estado C,2000,84,4.2,82482.2,1374.7,12.7
10,Estado D,2000,84,4.2,157104.2,2618.4,12.4
11,Estado A,2000,73,3.65,204192.1,3403.2,0.2
11,Estado B,2000,73,3.65,133827.2,2230.45,0.2
11,Estado C,2000,109,5.45,86365.5,1439.42,13.0
11,Estado D,2000,109,5.45,163378.1,2722.97,12.3
12,Estado A,2000,83,4.15,215267.9,3587.8,0.2
12,Estado B,2000,83,4.15,137532.5,2292.21,0.2
12,Estado C,2000,91,4.55,82838.9,1380.65,12.7
12,Estado D,2000,91,4.55,159801.1,2663.35,12.2
13,Estado A,2000,91,4.55,216919.9,3615.33,0.2
13,Estado B,2000,91,4.55,140739.9,2345.67,0.2
13,Estado C,2000,89,4.45,82504.3,1375.07,12.6
13,Estado D,2000,89,4.45,157075.4,2617.92,12.3
14,Estado A,2000,75,3.75,222475.7,3707.93,0.2
14,Estado B,2000,75,3.75,141023.7,2350.4,0.2
14,Estado C,2000,86,4.3,83694.3,1394.9,12.6
14,Estado D,2000,86,4.3,161117.7,2685.3,12.4
15,Estado A,2000,82,4.1,219969.3,3666.16,0.2
15,Estado B,2000,82,4.1,140730.2,2345.5,0.2
15,Estado C,2000,90,4.5,82913.7,1381.89,12.7
15,Estado D,2000,90,4.5,156001.8,2600.03,12.2
16,Estado A,2000,88,4.4,213927.6,3565.46,0.2
16,Estado B,2000,88,4.4,139275.5,2321.26,0.2
16,Estado C,2000,102,5.1,84907.2,1415.12,12.6
16,Estado D,2000,102,5.1,160825.3,2680.42,13.6
17,Estado A,2000,82,4.1,226660.8,3777.68,0.2
17,Estado B,2000,82,4.1,144321.9,2405.36,0.2
17,Estado C,2000,95,4.75,85679.1,1427.98,12.9
17,Estado D,2000,95,4.75,165344.5,2755.74,12.5
18,Estado A,2000,74,3.7,207276.0,3454.6,0.2
18,Estado B,2000,74,3.7,138402.7,2306.71,0.2
18,Estado C,2000,98,4.9,86667.6,1444.46,12.9
18,Estado D,2000,98,4.9,162615.3,2710.26,12.6
19,Estado A,2000,73,3.65,208171.5,3469.53,0.2
19,Estado B,2000,73,3.65,136192.2,2269.87,0.2
19,Estado C,2000,84,4.2,83534.0,1392.23,12.9
19,Estado D,2000,84,4.2,157358.9,2622.65,12.5
20,Estado A,2000,99,4.95,218459.4,3640.99,0.2
20,Estado B,2000,99,4.95,141820.2,2363.67,0.2
20,Estado C,2000,105,5.25,84722.9,1412.05,12.9
20,Estado D,2000,105,5.25,159038.5,2650.64,12.6
21,Estado A,2000,65,3.25,209773.3,3496.22,0.2
21,Estado B,2000,65,3.25,135704.1,2261.73,0.2
21,Estado C,2000,93,4.65,82773.0,1379.55,12.9
21,Estado D,2000,93,4.65,159628.3,2660.47,12.6
22,Estado A,2000,74,3.7,216747.6,3612.46,0.2
22,Estado B,2000,74,3.7,138947.7,2315.8,0.2
22,Estado C,2000,92,4.6,81682.5,1361.37,12.8
22,Estado D,2000,92,4.6,156757.3,2612.62,12.4
23,Estado A,2000,70,3.5,225480.2,3758.0,0.2
23,Estado B,2000,70,3.5,145002.1,2416.7,0.2
23,Estado C,2000,80,4.0,86106.6,1435.11,12.6
23,Estado D,2000,80,4.0,161808.1,2696.8,12.3
24,Estado A,2000,95,4.75,222635.2,3710.59,0.2
24,Estado B,2000,95,4.75,142998.6,2383.31,0.2
24,Estado C,2000,88,4.4,80701.6,1345.03,12.7
24,Estado D,2000,88,4.4,156760.4,2612.67,12.3
25,Estado A,2000,91,4.55,224973.1,3749.55,0.2
25,Estado B,2000,91,4.55,143333.0,2388.88,0.2
25,Estado C,2000,86,4.3,84159.2,1402.65,12.7
25,Estado D,2000,86,4.3,165130.8,2752.18,12.3
26,Estado A,2000,82,4.1,214071.8,3567.86,0.2
26,Estado B,2000,82,4.1,140215.5,2336.93,0.2
26,Estado C,2000,97,4.85,84664.3,1411.07,12.7
26,Estado D,2000,97,4.85,158315.9,2638.6,12.3
27,Estado A,2000,78,3.9,212836.2,3547.27,0.2
27,Estado B,2000,78,3.9,141494.3,2358.24,0.2
27,Estado C,2000,86,4.3,83113.6,1385.23,12.6
27,Estado D,2000,86,4.3,153828.8,2563.81,12.3
28,Estado A,2000,78,3.9,218996.9,3649.95,0.2
28,Estado B,2000,78,3.9,140431.9,2340.53,0.2
28,Estado C,2000,92,4.6,82992.8,1383.21,12.7
28,Estado D,2000,92,4.6,158434.2,2640.57,12.4
29,Estado A,2000,83,4.15,216614.0,3610.23,0.2
29,Estado B,2000,83,4.15,139970.3,2332.84,0.2
29,Estado C,2000,95,4.75,86193.9,1436.56,12.6
29,Estado D,2000,95,4.75,165087.1,2751.45,12.3
30,Estado A,2000,92,4.6,216441.0,3607.35,0.2
30,Estado B,2000,92,4.6,139700.6,2328.34,0.2
30,Estado C,2000,96,4.8,84293.2,1404.89,12.7
30,Estado D,2000,96,4.8,161432.5,2690.54,12.3
31,Estado A,2000,77,3.85,211987.7,3533.13,0.2
31,Estado B,2000,77,3.85,138137.4,2302.29,0.2
31,Estado C,2000,94,4.7,84435.4,1407.26,12.7
31,Estado D,2000,94,4.7,158814.0,2646.9,12.3
32,Estado A,2000,99,4.95,216810.2,3613.5,0.2
32,Estado B,2000,99,4.95,140452.7,2340.88,0.2
32,Estado C,2000,95,4.75,82920.1,1382.0,12.6
32,Estado D,2000,95,4.75,157989.6,2633.16,12.3
33,Estado A,2000,73,3.65,220530.7,3675.51,0.2
33,Estado B,2000,73,3.65,141192.1,2353.2,0.2
33,Estado C,2000,82,4.1,85018.8,1416.98,12.7
33,Estado D,2000,82,4.1,163104.2,2718.4,12.3
34,Estado A,2000,74,3.7,216762.1,3612.7,0.2
34,Estado B,2000,74,3.7,137041.5,2284.02,0.2
34,Estado C,2000,79,3.95,82018.2,1366.97,12.6
34,Estado D,2000,79,3.95,158565.8,2642.76,12.3
35,Estado A,2000,77,3.85,213366.0,3556.1,0.2
35,Estado B,2000,77,3.85,138162.9,2302.72,0.2
35,Estado C,2000,103,5.15,82962.3,1382.7,12.6
35,Estado D,2000,103,5.15,158809.9,2646.83,12.3
36,Estado A,2000,76,3.8,208860.4,3481.01,0.1
36,Estado B,2000,76,3.8,134960.7,2249.35,0.2
36,Estado C,2000,98,4.9,84647.8,1410.8,12.8
36,Estado D,2000,98,4.9,165416.3,2756.94,12.3
37,Estado A,2000,83,4.15,223078.0,3717.97,0.2
37,Estado B,2000,83,4.15,143315.8,2388.6,0.2
37,Estado C,2000,95,4.75,85334.8,1422.25,12.8
37,Estado D,2000,95,4.75,161524.1,2692.07,12.3
38,Estado A,2000,99,4.95,227104.1,3785.07,0.2
38,Estado B,2000,99,4.95,145673.6,2427.89,0.2
38,Estado C,2000,94,4.7,89067.7,1484.46,12.7
38,Estado D,2000,94,4.7,167402.6,2790.04,12.3
39,Estado A,2000,78,3.9,208300.2,3471.67,0.2
39,Estado B,2000,78,3.9,135724.2,2262.07,0.2
39,Estado C,2000,99,4.95,85209.3,1420.15,12.8
39,Estado D,2000,99,4.95,162573.1,2709.55,12.4
40,Estado A,2000,67,3.35,217366.6,3622.78,0.2
40,Estado B,2000,67,3.35,139419.7,2323.66,0.2
40,Estado C,2000,90,4.5,84857.0,1414.28,12.8
40,Estado D,2000,90,4.5,164081.7,2734.7,12.3
41,Estado A,2000,91,4.55,220117.9,3668.63,0.2
41,Estado B,2000,91,4.55,141887.9,2364.8,0.2
41,Estado C,2000,101,5.05,84237.5,1403.96,12.7
41,Estado D,2000,101,5.05,158433.2,2640.55,12.3
42,Estado A,2000,72,3.6,211958.2,3532.64,0.2
42,Estado B,2000,72,3.6,138007.7,2300.13,0.2
42,Estado C,2000,82,4.1,84971.6,1416.19,12.7
42,Estado D,2000,82,4.1,160291.3,2671.52,12.4
43,Estado A,2000,74,3.7,216031.7,3600.53,0.2
43,Estado B,2000,74,3.7,139940.7,2332.34,0.2
43,Estado C,2000,84,4.2,81710.1,1361.83,12.7
43,Estado D,2000,84,4.2,154287.3,2571.46,12.4
44,Estado A,2000,78,3.9,205614.3,3426.91,0.1
44,Estado B,2000,78,3.9,135475.4,2257.92,0.2
44,Estado C,2000,97,4.85,82085.9,1368.1,12.6
44,Estado D,2000,97,4.85,155137.1,2585.62,12.4
45,Estado A,2000,89,4.45,214255.8,3570.93,0.2
45,Estado B,2000,89,4.45,139014.1,2316.9,0.2
45,Estado C,2000,109,5.45,86629.5,1443.82,12.8
45,Estado D,2000,109,5.45,166116.7,2768.61,12.3
46,Estado A,2000,83,4.15,211209.6,3520.16,0.1
46,Estado B,2000,83,4.15,136167.5,2269.46,0.2
46,Estado C,2000,112,5.6,82869.8,1381.16,12.6
46,Estado D,2000,112,5.6,159464.6,2657.74,12.3
47,Estado A,2000,72,3.6,210942.0,3515.7,0.2
47,Estado B,2000,72,3.6,136443.0,2274.05,0.2
47,Estado C,2000,98,4.9,83706.6,1395.11,12.6
47,Estado D,2000,98,4.9,159800.3,2663.34,12.3
48,Estado A,2000,88,4.4,214522.4,3575.37,0.2
48,Estado B,2000,88,4.4,140467.3,2341.12,0.2
48,Estado C,2000,100,5.0,86366.0,1439.43,12.6
48,Estado D,2000,100,5.0,158774.3,2646.24,12.3
49,Estado A,2000,89,4.45,209103.6,3485.06,0.2
49,Estado B,2000,89,4.45,136635.8,2277.26,0.2
49,Estado C,2000,92,4.6,83397.3,1389.95,12.7
49,Estado D,2000,92,4.6,157199.7,2620.0,12.3
50,Estado A,2000,80,4.0,215951.9,3599.2,0.2
50,Estado B,2000,80,4.0,139219.8,2320.33,0.2
50,Estado C,2000,94,4.7,84704.3,1411.74,12.7
50,Estado D,2000,94,4.7,160234.5,2670.58,12.3
51,Estado A,2000,75,3.75,207245.1,3454.08,0.2
51,Estado B,2000,75,3.75,134687.2,2244.79,0.2
51,Estado C,2000,88,4.4,83003.4,1383.39,12.6
51,Estado D,2000,88,4.4,158872.5,2647.88,12.3
52,Estado A,2000,80,4.0,212320.6,3538.68,0.2
52,Estado B,2000,80,4.0,138895.7,2314.93,0.2
52,Estado C,2000,97,4.85,84760.2,1412.67,12.7
52,Estado D,2000,97,4.85,159925.1,2665.42,12.3
53,Estado A,2000,79,3.95,209987.0,3499.78,0.2
53,Estado B,2000,79,3.95,138176.1,2302.93,0.2
53,Estado C,2000,102,5.1,82095.0,1368.25,12.6
53,Estado D,2000,102,5.1,155715.6,2595.26,12.3
54,Estado A,2000,65,3.25,202067.8,3367.8,0.1
54,Estado B,2000,65,3.25,132821.7,2213.69,0.2
54,Estado C,2000,95,4.75,82157.1,1369.28,12.6
54,Estado D,2000,95,4.75,153928.6,2565.48,12.3
55,Estado A,2000,72,3.6,205364.2,3422.74,0.2
55,Estado B,2000,72,3.6,135661.0,2261.02,0.2
55,Estado C,2000,76,3.8,84173.9,1402.9,12.7
55,Estado D,2000,76,3.8,160030.5,2667.18,12.2
56,Estado A,2000,88,4.4,221023.2,3683.72,0.2
56,Estado B,2000,88,4.4,141321.0,2355.35,0.2
56,Estado C,2000,100,5.0,84872.1,1414.53,12.6
56,Estado D,2000,100,5.0,164271.0,2737.85,12.2
57,Estado A,2000,75,3.75,220129.9,3668.83,0.2
57,Estado B,2000,75,3.75,143633.0,2393.88,0.2
57,Estado C,2000,88,4.4,85287.9,1421.46,12.7
57,Estado D,2000,88,4.4,158991.8,2649.86,12.3
58,Estado A,2000,74,3.7,225281.1,3754.68,0.2
58,Estado B,2000,74,3.7,143889.8,2398.16,0.2
58,Estado C,2000,99,4.95,85895.5,1431.59,12.6
58,Estado D,2000,99,4.95,163574.4,2726.24,12.3
59,Estado A,2000,83,4.15,211837.2,3530.62,0.1
59,Estado B,2000,83,4.15,137744.0,2295.73,0.2
59,Estado C,2000,97,4.85,84447.2,1407.45,12.6
59,Estado D,2000,97,4.85,160610.1,2676.84,12.2
60,Estado A,2000,86,4.3,222079.8,3701.33,0.2
60,Estado B,2000,86,4.3,141674.4,2361.24,0.2
60,Estado C,2000,84,4.2,82206.1,1370.1,12.6
60,Estado D,2000,84,4.2,159392.3,2656.54,12.2
61,Estado A,2000,79,3.95,211086.0,3518.1,0.2
61,Estado B,2000,79,3.95,138074.5,2301.24,0.2
61,Estado C,2000,92,4.6,83108.5,1385.14,12.6
61,Estado D,2000,92,4.6,156726.4,2612.11,12.3
62,Estado A,2000,80,4.0,215172.8,3586.21,0.2
62,Estado B,2000,80,4.0,139506.8,2325.11,0.2
62,Estado C,2000,82,4.1,81217.8,1353.63,12.6
62,Estado D,2000,82,4.1,154166.4,2569.44,12.2
63,Estado A,2000,94,4.7,221210.1,3686.83,0.2
63,Estado B,2000,94,4.7,142583.1,2376.38,0.2
63,Estado C,2000,99,4.95,83209.7,1386.83,12.6
63,Estado D,2000,99,4.95,159088.6,2651.48,14.1
64,Estado A,2000,63,3.15,214544.4,3575.74,0.2
64,Estado B,2000,63,3.15,139247.1,2320.78,0.2
64,Estado C,2000,86,4.3,85108.4,1418.47,13.6
64,Estado D,2000,86,4.3,158635.6,2643.93,13.5
65,Estado A,2000,78,3.9,214765.6,3579.43,0.2
65,Estado B,2000,78,3.9,140335.2,2338.92,0.2
65,Estado C,2000,90,4.5,84219.3,1403.65,13.0
65,Estado D,2000,90,4.5,160446.1,2674.1,12.7
66,Estado A,2000,77,3.85,220147.7,3669.13,0.2
66,Estado B,2000,77,3.85,142573.0,2376.22,0.2
66,Estado C,2000,86,4.3,85045.7,1417.43,12.8
66,Estado D,2000,86,4.3,161668.1,2694.47,12.8
67,Estado A,2000,67,3.35,204777.2,3412.95,0.2
67,Estado B,2000,67,3.35,133372.8,2222.88,0.2
67,Estado C,2000,83,4.15,81745.2,1362.42,13.0
67,Estado D,2000,83,4.15,158079.7,2634.66,13.9
68,Estado A,2000,81,4.05,215747.8,3595.8,0.2
68,Estado B,2000,81,4.05,138121.4,2302.02,0.2
68,Estado C,2000,87,4.35,82089.0,1368.15,13.0
68,Estado D,2000,87,4.35,157433.7,2623.9,12.6
69,Estado A,2000,75,3.75,207456.8,3457.61,0.2
69,Estado B,2000,75,3.75,134925.6,2248.76,0.2
69,Estado C,2000,90,4.5,80208.7,1336.81,12.8
69,Estado D,2000,90,4.5,150186.4,2503.11,12.4
70,Estado A,2000,83,4.15,209124.7,3485.41,0.2
70,Estado B,2000,83,4.15,136444.5,2274.07,0.2
70,Estado C,2000,91,4.55,80751.4,1345.86,12.7
70,Estado D,2000,91,4.55,156885.3,2614.76,12.3
71,Estado A,2000,79,3.95,213957.1,3565.95,0.2
71,Estado B,2000,79,3.95,140329.9,2338.83,0.2
71,Estado C,2000,91,4.55,85101.9,1418.36,12.7
71,Estado D,2000,91,4.55,157578.1,2626.3,12.3
72,Estado A,2000,66,3.3,209850.5,3497.51,0.1
72,Estado B,2000,66,3.3,137323.9,2288.73,0.2
72,Estado C,2000,76,3.8,82726.9,1378.78,12.7
72,Estado D,2000,76,3.8,155482.8,2591.38,12.6
73,Estado A,2000,82,4.1,217855.0,3630.92,0.2
73,Estado B,2000,82,4.1,140583.8,2343.06,0.2
73,Estado C,2000,86,4.3,82313.8,1371.9,12.7
73,Estado D,2000,86,4.3,155034.9,2583.92,12.2
74,Estado A,2000,85,4.25,214951.8,3582.53,0.2
74,Estado B,2000,85,4.25,140252.8,2337.55,0.2
74,Estado C,2000,99,4.95,86151.8,1435.86,12.6
74,Estado D,2000,99,4.95,163019.6,2716.99,12.3
75,Estado A,2000,75,3.75,214528.5,3575.47,0.2
75,Estado B,2000,75,3.75,139393.1,2323.22,0.2
75,Estado C,2000,93,4.65,84611.1,1410.18,12.7
75,Estado D,2000,93,4.65,162466.9,2707.78,12.4
76,Estado A,2000,64,3.2,205503.1,3425.05,0.2
76,Estado B,2000,64,3.2,133358.1,2222.64,0.2
